	1	1
399	Edward	M
400	Henry	M
401	Mary	F
402	Helen	F
403	Anna	F
404	Margaret	F
405	Ruth	F
406	Elizabeth	F
407	Florence	F
408	Ethel	F
409	Marie	F
410	Lillian	F
411	John	M
412	William	M
413	James	M
414	George	M
415	Charles	M
416	Robert	M
417	Joseph	M
418	Frank	M
419	Edward	M
420	Henry	M
421	Mary	F
422	Helen	F
423	Anna	F
424	Margaret	F
425	Ruth	F
426	Elizabeth	F
427	Marie	F
428	Florence	F
429	Ethel	F
430	Lillian	F
431	John	M
432	William	M
433	James	M
434	George	M
435	Charles	M
436	Joseph	M
437	Robert	M
438	Frank	M
439	Edward	M
440	Henry	M
441	Mary	F
442	Helen	F
443	Anna	F
444	Margaret	F
445	Ruth	F
446	Elizabeth	F
447	Florence	F
448	Marie	F
449	Ethel	F
450	Alice	F
451	John	M
452	William	M
453	James	M
454	George	M
455	Charles	M
456	Robert	M
457	Joseph	M
458	Frank	M
459	Edward	M
460	Henry	M
461	Mary	F
462	Helen	F
463	Anna	F
464	Margaret	F
465	Ruth	F
466	Elizabeth	F
467	Marie	F
468	Florence	F
469	Ethel	F
470	Mildred	F
471	John	M
472	William	M
473	James	M
474	George	M
475	Charles	M
476	Joseph	M
477	Robert	M
478	Frank	M
479	Edward	M
480	Thomas	M
481	Mary	F
482	Helen	F
483	Anna	F
484	Margaret	F
485	Ruth	F
486	Elizabeth	F
487	Marie	F
488	Florence	F
489	Mildred	F
490	Dorothy	F
491	John	M
492	William	M
493	James	M
494	George	M
495	Robert	M
496	Charles	M
497	Joseph	M
498	Frank	M
499	Edward	M
500	Henry	M
501	Mary	F
502	Helen	F
503	Margaret	F
504	Anna	F
505	Ruth	F
506	Elizabeth	F
507	Dorothy	F
508	Mildred	F
509	Marie	F
510	Alice	F
511	John	M
512	William	M
513	James	M
514	George	M
515	Charles	M
516	Robert	M
517	Joseph	M
518	Frank	M
519	Edward	M
520	Thomas	M
521	Mary	F
522	Helen	F
523	Margaret	F
524	Anna	F
525	Ruth	F
526	Dorothy	F
527	Elizabeth	F
528	Alice	F
529	Mildred	F
530	Florence	F
531	John	M
532	William	M
533	James	M
534	George	M
535	Robert	M
536	Charles	M
537	Joseph	M
538	Frank	M
539	Edward	M
540	Thomas	M
541	Mary	F
542	Helen	F
543	Margaret	F
544	Anna	F
545	Ruth	F
546	Dorothy	F
547	Elizabeth	F
548	Mildred	F
549	Alice	F
550	Marie	F
551	John	M
552	William	M
553	James	M
554	George	M
555	Robert	M
556	Charles	M
557	Joseph	M
558	Frank	M
559	Edward	M
560	Henry	M
561	Mary	F
562	Helen	F
563	Margaret	F
564	Ruth	F
565	Anna	F
566	Dorothy	F
567	Elizabeth	F
568	Mildred	F
569	Alice	F
570	Marie	F
571	John	M
572	William	M
573	James	M
574	George	M
575	Robert	M
576	Joseph	M
577	Charles	M
578	Frank	M
579	Edward	M
580	Thomas	M
581	Mary	F
582	Helen	F
583	Margaret	F
584	Ruth	F
